"lambda_factor","lambda","n_seeds","full_mean","full_median","full_sd","full_q25","full_q75","full_q90","full_mean_adjusted_ratio","full_near_best_5pct","full_near_best_10pct","full_win_rate","rank_mean","rank_median","rank_sd","rank_q25","rank_q75","rank_q90","rank_mean_adjusted_ratio","rank_near_best_5pct","rank_near_best_10pct","rank_win_rate","mean_iter","convergence_rate","median_rank_1e4","full_robust_score","rank_robust_score"
0.015,0.00248746859276655,30,5.94325562292471,5.89262527435117,0.277236533574357,5.79175996712579,6.15387250956208,6.31652591288069,5.06842542516823,0,0,0,4.35838100337558,4.30583633153641,0.401735317339476,4.0987503267461,4.60695524823274,4.88033259662085,3.71683980828143,0.333333333333333,0.7,0,947.066666666667,1,15,6.02324889195662,4.45639578988457
0.02,0.0033166247903554,30,5.27777741562896,5.24762224513412,0.286197148008928,5.10550199864827,5.49399042599481,5.62932799517677,4.50090370311022,0,0.0333333333333333,0,4.15679610651146,4.1060359869727,0.387384462071599,3.87391922570662,4.35849703424226,4.66398213865011,3.54492763060982,0.8,0.966666666666667,0.1,807.2,1,14,5.37080633556447,4.23226651060748
0.025,0.00414578098794425,30,4.87306788281265,4.8566406814883,0.312418103299064,4.74792760352131,5.14121964183249,5.22349571779786,4.1557662538607,0.0666666666666667,0.533333333333333,0,4.08213504737445,4.02626158468234,0.38734264773152,3.79262334310638,4.33450768656548,4.56246177916754,3.48125646544231,0.966666666666667,1,0.366666666666667,722.833333333333,1,13,4.9989301616604,4.18038463562391
0.03,0.0049749371855331,30,4.64167671683796,4.66286760740535,0.323672673866775,4.49790239366381,4.88216813930547,5.00458856343421,3.95843520448405,0.5,0.933333333333333,0,4.07711771694583,4.02450142964031,0.380792239543391,3.79814714446592,4.33372944221295,4.50225059747323,3.47697767167601,1,1,0.2,617.333333333333,1,12,4.77251787335541,4.17911543592663
0.035,0.00580409338312195,30,4.51819866589371,4.51890236188364,0.33348944956032,4.33130926790868,4.77075830732212,4.90545845642191,3.85313276882201,0.833333333333333,1,0.133333333333333,4.1090240229212,4.0597782734448,0.376774258016878,3.81805186620686,4.40087252203731,4.4919852486944,3.50418746083685,1,1,0.233333333333333,513.833333333333,1,11,4.64483033460288,4.23032539774106
0.04,0.0066332495807108,30,4.45492209403193,4.45628835483771,0.362378543420201,4.21694754993067,4.72281256103466,4.87473635631531,3.79917032702418,0.966666666666667,1,0.333333333333333,4.15029360288863,4.11905062546678,0.39337714996275,3.8699407850238,4.43309356045194,4.57498556766771,3.53938227688785,0.9,1,0.0333333333333333,397.5,1,10,4.58955045793619,4.27607209295936
0.045,0.00746240577829965,30,4.4716681100516,4.47584618900488,0.372091823097664,4.14830460209637,4.71631026288454,4.94850503845333,3.81345137747016,0.966666666666667,1,0.266666666666667,4.23586635390661,4.22768872423656,0.400331259042292,3.89191526685452,4.50561559075503,4.6909792572541,3.61235896415807,0.6,0.933333333333333,0.0666666666666667,359.866666666667,1,10,4.59607822594471,4.36665215749579
0.05,0.0082915619758885,30,4.48549304863891,4.45561092100034,0.390168722510822,4.22145204503557,4.7490820240422,4.95939925866834,3.82524132471171,1,1,0.133333333333333,4.29890072010565,4.27333510132109,0.411052954732293,3.99252925840055,4.57484829287931,4.77363769989551,3.66611485227269,0.4,0.833333333333333,0,326.866666666667,1,9,4.60234647252127,4.4240916971002
0.06,0.0099498743710662,30,4.54797079373682,4.48965117718709,0.395489691519147,4.29398597780516,4.80876309880426,4.93383810188171,3.87852252475633,0.9,0.966666666666667,0.133333333333333,4.42522224959302,4.36438900019269,0.407314495326602,4.17473449116348,4.6844332574128,4.81924084081343,3.77384221458407,0.133333333333333,0.633333333333333,0,280.7,1,8,4.64920713799568,4.52441112880274
0.075,0.0124373429638327,30,4.71156654285317,4.71293775084506,0.430139205434325,4.35958220077445,4.98326385358441,5.17290601671439,4.01803744837369,0.366666666666667,0.8,0,4.63283132540316,4.64702328587957,0.434779338338031,4.28509289066325,4.9036017639584,5.09334179137613,3.95089182932266,0,0.133333333333333,0,256.2,1,7,4.84810080221473,4.77531252491899
0.1,0.016583123951777,30,4.9966060539323,5.07448625936485,0.458142594044035,4.60545191346484,5.25368755076598,5.47954174500128,4.26111996018058,0,0.266666666666667,0,4.95022520614178,5.03181522793913,0.461607156392606,4.54434482980397,5.20509702616419,5.43454800636933,4.22156624028411,0,0,0,227.766666666667,1,6,5.16408690506541,5.11845612705166
0.15,0.0248746859276655,30,5.44537881518311,5.51586935088984,0.471507081180015,5.00711065891296,5.84868391109476,5.97892776678851,4.64383465689881,0,0,0,5.42120117067174,5.49528132457156,0.476075257046089,4.96314691239666,5.80379136736968,5.98028939405976,4.62321589238036,0,0,0,215.633333333333,1,4,5.6822766309923,5.64953634597062
0.2,0.033166247903554,30,5.74503429373324,5.78472706193559,0.450646563466527,5.30677214189017,6.16465705783625,6.32340011195579,4.8993817076459,0,0,0,5.72971703861097,5.78689928102392,0.457514285448814,5.27025926003935,6.13844741690766,6.30688064054985,4.88631910858722,0,0,0,202.166666666667,1,4,5.97469205988592,5.96267334896579
